cinema_id,movie_id,booking_link
41,3393,https://ksa.voxcinemas.com/showtimes?c=west-avenue-mall-dammam&m=memory
41,3396,https://ksa.voxcinemas.com/showtimes?c=west-avenue-mall-dammam&m=random-act-of-violence
41,3394,https://ksa.voxcinemas.com/showtimes?c=west-avenue-mall-dammam&m=shark-bait
41,3391,https://ksa.voxcinemas.com/showtimes?c=west-avenue-mall-dammam&m=sonic-the-hedgehog-2
41,3384,https://ksa.voxcinemas.com/showtimes?c=west-avenue-mall-dammam&m=the-northman
41,3389,https://ksa.voxcinemas.com/showtimes?c=west-avenue-mall-dammam&m=top-gun-maverick
41,3399,https://ksa.voxcinemas.com/showtimes?c=west-avenue-mall-dammam&m=vendetta
41,3383,https://ksa.voxcinemas.com/showtimes?c=west-avenue-mall-dammam&m=wahed-tany-arabic
5,3397,https://www.amccinemas.com/movies/Bhool-Bhulaiyaa-2
5,3414,https://www.amccinemas.com/movies/Harry-Potter--The-Chamber-Of-Secrets-
5,3413,https://www.amccinemas.com/movies/Jack-N-Jill-
5,3388,https://www.amccinemas.com/movies/Jujutsu-Kaisen-0-The-Movie
5,3389,https://www.amccinemas.com/movies/Top-Gun-Maverick
29,3392,https://ksa.voxcinemas.com/showtimes?c=hail-square-hail&m=black-site
29,3400,https://ksa.voxcinemas.com/showtimes?c=hail-square-hail&m=fantastic-beasts-the-secrets-of-dumbledore
29,3388,https://ksa.voxcinemas.com/showtimes?c=hail-square-hail&m=jujutsu-kaisen-0-the-movie-japanese
29,3393,https://ksa.voxcinemas.com/showtimes?c=hail-square-hail&m=memory
29,3396,https://ksa.voxcinemas.com/showtimes?c=hail-square-hail&m=random-act-of-violence
29,3398,https://ksa.voxcinemas.com/showtimes?c=hail-square-hail&m=room-203
29,3394,https://ksa.voxcinemas.com/showtimes?c=hail-square-hail&m=shark-bait
29,3391,https://ksa.voxcinemas.com/showtimes?c=hail-square-hail&m=sonic-the-hedgehog-2
29,3404,https://ksa.voxcinemas.com/showtimes?c=hail-square-hail&m=the-cellar
29,3386,https://ksa.voxcinemas.com/showtimes?c=hail-square-hail&m=the-last-victim
29,3384,https://ksa.voxcinemas.com/showtimes?c=hail-square-hail&m=the-northman
29,3389,https://ksa.voxcinemas.com/showtimes?c=hail-square-hail&m=top-gun-maverick
29,3399,https://ksa.voxcinemas.com/showtimes?c=hail-square-hail&m=vendetta
29,3383,https://ksa.voxcinemas.com/showtimes?c=hail-square-hail&m=wahed-tany-arabic
29,3390,https://ksa.voxcinemas.com/showtimes?c=hail-square-hail&m=zombie-ala-janbi-arabic
30,3392,https://ksa.voxcinemas.com/showtimes?c=jubail-galleria-mall-jubail&m=black-site
35,3383,https://ksa.voxcinemas.com/showtimes?c=sahara-mall-riyadh&m=wahed-tany-arabic
30,3400,https://ksa.voxcinemas.com/showtimes?c=jubail-galleria-mall-jubail&m=fantastic-beasts-the-secrets-of-dumbledore
30,3405,https://ksa.voxcinemas.com/showtimes?c=jubail-galleria-mall-jubail&m=fireheart
30,3388,https://ksa.voxcinemas.com/showtimes?c=jubail-galleria-mall-jubail&m=jujutsu-kaisen-0-the-movie-japanese
30,3393,https://ksa.voxcinemas.com/showtimes?c=jubail-galleria-mall-jubail&m=memory
30,3396,https://ksa.voxcinemas.com/showtimes?c=jubail-galleria-mall-jubail&m=random-act-of-violence
30,3398,https://ksa.voxcinemas.com/showtimes?c=jubail-galleria-mall-jubail&m=room-203
30,3394,https://ksa.voxcinemas.com/showtimes?c=jubail-galleria-mall-jubail&m=shark-bait
30,3391,https://ksa.voxcinemas.com/showtimes?c=jubail-galleria-mall-jubail&m=sonic-the-hedgehog-2
30,3384,https://ksa.voxcinemas.com/showtimes?c=jubail-galleria-mall-jubail&m=the-northman
30,3389,https://ksa.voxcinemas.com/showtimes?c=jubail-galleria-mall-jubail&m=top-gun-maverick
30,3399,https://ksa.voxcinemas.com/showtimes?c=jubail-galleria-mall-jubail&m=vendetta
30,3383,https://ksa.voxcinemas.com/showtimes?c=jubail-galleria-mall-jubail&m=wahed-tany-arabic
33,3392,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=black-site
33,3406,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=detective-conan-the-bride-of-shibuya-japanese
33,3395,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=el-ankaboot-arabic
33,3400,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=fantastic-beasts-the-secrets-of-dumbledore
33,3405,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=fireheart
33,3388,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=jujutsu-kaisen-0-the-movie-japanese
33,3393,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=memory
33,3396,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=random-act-of-violence
33,3398,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=room-203
33,3394,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=shark-bait
33,3391,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=sonic-the-hedgehog-2
33,3410,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=the-bad-guys
33,3404,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=the-cellar
33,3408,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=the-lost-city
33,3384,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=the-northman
33,3387,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=the-twin
33,3401,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=the-unbearable-weight-of-massive-talent
33,3389,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=top-gun-maverick
33,3411,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=turning-red
33,3399,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=vendetta
33,3383,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=wahed-tany-arabic
33,3390,https://ksa.voxcinemas.com/showtimes?c=riyadh-front-riyadh&m=zombie-ala-janbi-arabic
34,3392,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=black-site
34,3406,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=detective-conan-the-bride-of-shibuya-japanese
34,3395,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=el-ankaboot-arabic
34,3400,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=fantastic-beasts-the-secrets-of-dumbledore
34,3405,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=fireheart
34,3385,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=firestarter
34,3388,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=jujutsu-kaisen-0-the-movie-japanese
34,3393,https://ksa.voxcinemas.com/showtimes?c=riyadh-park-riyadh&m=memory
