,movie_id,language_id
2687,1741,30
2688,1742,30
2689,1743,50
2690,1743,30
2691,1744,30
2692,1745,30
2693,1746,30
2694,1747,30
2695,1748,30
2696,1749,30
2697,1749,39
2698,1749,99
2699,1749,50
2700,1750,30
2701,1751,92
2702,1751,30
2703,1752,92
2704,1752,30
2705,1753,30
2706,1754,30
2707,1755,30
2708,1756,49
2709,1756,30
2710,1757,49
2711,1757,30
2712,1758,30
2713,1759,30
2714,1760,30
2715,1761,30
2716,1762,30
2717,1763,30
2718,1763,38
2719,1764,30
2720,1765,30
2721,1766,30
2722,1767,30
2723,1767,83
2724,1768,30
2725,1769,30
2726,1770,30
2727,1771,30
2728,1772,34
2729,1772,30
2730,1773,30
2731,1774,30
2732,1775,30
2733,1776,30
2734,1777,30
2735,1778,30
2736,1779,30
2737,1780,30
2738,1781,30
2739,1782,30
2740,1783,30
2741,1784,49
2742,1784,38
2743,1784,30
2744,1784,55
2745,1785,30
2746,1786,30
2747,1787,30
2748,1788,91
2749,1788,50
2750,1788,30
2751,1789,30
2752,1790,30
2753,1791,91
2754,1791,30
2755,1792,30
2756,1793,91
2757,1793,30
2758,1794,91
2759,1794,38
2760,1794,30
2761,1795,30
2762,1796,30
2763,1797,30
2764,1798,91
2765,1798,49
2766,1799,30
2767,1800,30
2768,1801,30
2769,1802,30
2770,1803,30
2771,1804,30
2772,1804,34
2773,1805,30
2774,1806,34
2775,1806,42
2776,1806,38
2777,1806,30
2778,1807,34
2779,1807,26
2780,1808,34
2781,1808,38
2782,1808,55
2783,1808,30
2784,1809,30
2785,1810,30
2786,1811,30
2787,1812,30
2788,1813,30
2789,1814,30
2790,1815,30
2791,1816,91
2792,1816,30
2793,1817,30
2794,1818,30
2795,1819,30
2796,1820,30
2797,1821,30
2798,1822,30
2799,1823,30
2800,1824,30
2801,1824,49
2802,1825,30
2803,1826,44
2804,1826,30
2805,1827,30
2806,1828,30
2807,1829,30
2808,1830,83
2809,1830,30
2810,1831,30
2811,1832,30
2812,1833,30
2813,1834,30
2814,1835,30
2815,1836,30
2816,1837,30
2817,1838,30
2818,1839,30
2819,1840,91
2820,1840,30
2821,1840,34
2822,1841,30
2823,1842,30
2824,1843,18
2825,1843,30
2826,1844,43
2827,1844,104
2828,1844,30
2829,1844,34
2830,1845,30
2831,1846,30
2832,1847,30
2833,1848,30
2834,1849,30
2835,1850,30
2836,1851,30
2837,1852,30
2838,1853,30
2839,1853,83
2840,1854,30
2841,1855,34
2842,1856,30
2843,1857,30
2844,1858,30
2845,1858,105
2846,1858,49
2847,1858,91
2848,1859,30
2849,1860,30
2850,1860,38
2851,1861,30
2852,1862,97
2853,1862,30
2854,1863,30
2855,1864,30
2856,1865,30
2857,1866,30
2858,1867,30
2859,1868,30
2860,1869,30
2861,1869,34
2862,1870,91
2863,1871,30
2864,1872,30
2865,1873,30
2866,1874,30
2867,1875,18
2868,1876,30
2869,1877,91
2870,1877,30
2871,1878,30
2872,1879,30
2873,1880,30
2874,1881,8
2875,1881,30
2876,1881,34
2877,1882,91
2878,1883,30
2879,1884,30
2880,1885,34
2881,1885,30
2882,1886,91
2883,1886,30
2884,1887,30
2885,1888,30
2886,1889,30
2887,1890,30
2888,1891,30
2889,1891,104
2890,1892,34
2891,1892,30
2892,1893,30
2893,1894,55
2894,1894,30
2895,1895,30
2896,1896,42
2897,1896,44
2898,1896,21
2899,1896,8
2900,1896,30
2901,1896,29
2902,1897,30
2903,1898,30
2904,1899,30
2905,1899,49
2906,1899,55
2907,1900,50
2908,1901,30
2909,1901,18
2910,1902,30
2911,1903,30
2912,1903,84
2913,1904,30
2914,1905,30
2915,1905,49
2916,1905,92
2917,1906,34
2918,1906,29
2919,1906,8
2920,1906,30
2921,1907,30
2922,1908,30
2923,1908,34
2924,1909,30
2925,1910,30
2926,1911,30
2927,1912,30
2928,1913,30
2929,1914,34
2930,1914,83
2931,1914,30
2932,1915,49
2933,1915,91
2934,1915,30
2935,1916,49
2936,1916,83
2937,1916,30
2938,1916,34
2939,1917,30
2940,1917,55
2941,1917,44
2942,1918,30
2943,1919,55
2944,1919,30
2945,1920,30
2946,1921,30
2947,1922,30
2948,1923,30
2949,1924,30
2950,1925,30
2951,1926,30
2952,1926,26
2953,1927,30
2954,1928,30
2955,1929,30
2956,1930,30
2957,1931,91
2958,1931,30
2959,1932,30
2960,1933,30
2961,1934,30
2962,1935,30
2963,1935,50
2964,1936,91
2965,1936,30
2966,1937,30
2967,1938,30
2968,1939,91
2969,1939,30
2970,1940,30
2971,1941,38
2972,1941,30
2973,1942,30
2974,1942,49
2975,1942,61
2976,1942,34
2977,1942,38
2978,1943,30
2979,1944,30
2980,1945,30
2981,1946,30
2982,1946,49
2983,1946,34
2984,1947,30
2985,1947,38
2986,1947,50
2987,1948,49
2988,1948,30
2989,1949,34
2990,1950,30
2991,1951,91
2992,1951,30
2993,1952,30
2994,1953,30
2995,1954,30
2996,1954,49
2997,1955,34
2998,1956,30
2999,1957,30
3000,1958,34
3001,1959,30
3002,1960,30
3003,1961,30
3004,1962,30
3005,1963,30
3006,1964,30
3007,1965,30
3008,1966,30
3009,1967,30
3010,1968,30
3011,1969,91
3012,1969,71
3013,1969,34
3014,1969,30
3015,1970,30
3016,1971,91
3017,1971,30
3018,1972,30
3019,1973,30
3020,1974,30
3021,1975,30
3022,1976,30
3023,1977,30
3024,1978,30
3025,1978,38
3026,1978,91
3027,1978,34
3028,1979,38
3029,1979,34
3030,1979,30
3031,1980,34
3032,1980,30
3033,1981,30
3034,1981,38
3035,1981,34
3036,1982,30
3037,1983,91
3038,1983,30
3039,1984,30
3040,1985,30
3041,1986,30
3042,1987,30
3043,1988,34
3044,1988,30
3045,1989,40
3046,1989,30
3047,1989,91
3048,1989,55
3049,1990,30
3050,1991,30
